"le" "costs" "effects" "trt.costs" "trt.effects"
6.15858333333333 664310.561833356 5.07913336648161 745145.336200267 5.52922580761999
7.31383333333333 722499.800668524 5.74857864400755 815485.964834198 6.39997619206897
6.22125 629487.928173113 5.07747791336121 728373.062151355 5.57694293258637
6.33033333333333 604917.335916676 5.12909247449709 639063.591819175 5.64512478484506
6.2885 634391.099542891 5.13835940730491 812973.356752284 5.62640490411614
6.56533333333333 618515.575556871 5.30339194556602 850581.823888408 5.8167953236161
6.55875 628843.981830762 5.24003221377529 692214.293589409 5.76121843936219
6.52908333333333 595682.213691844 5.24123844813355 718626.340489293 5.77839136386934
5.645 488039.295209226 4.74129591205545 676337.100715084 5.1220526144157
4.5085 341348.113867804 3.98952372593374 482419.794845604 4.20650772844739
6.01358333333333 560228.440856494 4.98418731077523 669943.71658929 5.39258768343345
5.73825 568103.650732288 4.75894832945843 619525.244278359 5.18006329656838
5.68866666666667 517044.879450089 4.7732480235112 554691.405897025 5.15562953756303
6.783 719895.847089019 5.3928872939391 789287.973217528 5.96820872966516
6.55825 692044.75622698 5.22539400701553 798296.873602401 5.77749835250948
6.23266666666667 660879.383770478 4.91005946618754 847951.63161141 5.46340232130309
5.30491666666667 441071.496989325 4.53694973791882 561208.727407195 4.86531170610515
5.9745 634484.128930162 4.88159083134582 802914.260068859 5.33281946270898
6.48008333333333 597795.452135416 5.2212295743104 803753.533775459 5.74335456024487
6.17075 554799.988851145 4.9988386724799 704958.049363761 5.50071284937374
5.86658333333333 530253.429724597 4.8946804145351 619038.898074766 5.31267063853678
5.42933333333333 521508.620308187 4.54061000402377 660657.441894596 4.92532919399659
5.19658333333333 469748.977064764 4.41252539985452 714454.379938739 4.7408069364686
5.75891666666667 571946.08452638 4.75732985314117 572879.351534739 5.19459701325179
6.43633333333333 634456.972375638 5.17618546170754 781359.24907182 5.69345312363687
5.642 577081.642219623 4.66643303059457 639847.459517228 5.0932595157033
6.8205 650894.040952522 5.40955972417396 831989.250601383 5.97671694839742
5.72008333333333 580597.082194601 4.70079780951093 690412.354982742 5.15361406709498
5.52508333333333 522538.922799307 4.69445506152704 616619.870606188 5.04600928968885
5.36041666666667 557739.125572014 4.54042727674152 589317.155853371 4.89392865658505
6.23366666666667 590053.594205722 5.02915465013145 747906.279848673 5.52728753096877
5.55216666666667 473396.342195726 4.6558871270138 605102.816208003 5.04334361628669
6.26383333333333 623329.715207617 5.08561304238937 632077.697371185 5.55848545409889
5.76366666666667 599105.677018499 4.7096475811935 664554.896225641 5.15115488937936
5.38291666666667 516108.548710998 4.48044371320059 582213.287000013 4.85179438813476
6.29966666666667 638245.775199518 5.14179942387463 687690.935086312 5.61975762048648
6.27825 658677.57357255 5.15124355880775 730507.443389411 5.62955867581203
5.97625 528471.240108937 4.86942149252055 655941.925437617 5.35250929983671
5.43558333333333 560705.042260221 4.55821449109153 576265.097494169 4.95415159062753
6.64258333333333 655967.030350684 5.3002809702769 761000.47097001 5.86318548658383
5.45533333333333 508501.446730457 4.51082863040917 609537.882984284 4.92794748834154
6.19725 578892.155260079 4.94183160265424 909610.80953075 5.45117127132002
5.75858333333333 566247.606922529 4.80107305870273 651009.580695663 5.20612945466405
6.59916666666667 552998.677710256 5.3769319820956 732883.119329366 5.86127999595029
5.68175 554578.541310639 4.75485082624951 606329.910070587 5.15890425316305
7.61383333333333 822398.130026066 5.8066537913378 978553.977489987 6.5563573264499
6.31875 635795.290277658 5.18274951168535 727272.798124704 5.65562503491242
6.54375 650018.877594551 5.20882542209871 757304.092441001 5.77593862995035
5.46933333333333 445226.757001735 4.59805482630296 531391.335354551 4.97324168873103
5.79991666666667 610732.540780385 4.81829775054785 729447.821008419 5.23460593950965
6.96341666666667 646262.348213396 5.57566715197823 739059.808082119 6.14409748829648
5.765 507383.630774245 4.80125828747756 563980.219792462 5.21239230026007
6.97316666666667 664657.407613356 5.57242952306626 682040.708618224 6.12216822420498
5.54691666666667 578379.216002271 4.65574996367678 689662.398863984 5.02461758462567
5.804 562898.27915648 4.80742244986224 627747.024878934 5.22784566117671
5.86416666666667 562802.178640727 4.83756058398387 774427.098786476 5.28960942418743
6.01408333333333 603416.622297138 4.92405439972951 723381.437523571 5.3846164063648
5.57958333333333 467321.301262712 4.644325275654 567825.745936339 5.03942397538981
